MeetingDate,PressConference,IsNew,MeetingType
19930203,0,Yes,Meeting Date
19930323,0,Yes,Meeting Date
19930518,0,Yes,Meeting Date
19930707,0,Yes,Meeting Date
19930817,0,Yes,Meeting Date
19930921,0,Yes,Meeting Date
19931116,0,Yes,Meeting Date
19931221,0,Yes,Meeting Date
19940204,0,Yes,Meeting Date
19940322,0,Yes,Meeting Date
19940517,0,Yes,Meeting Date
19940706,0,Yes,Meeting Date
19940816,0,Yes,Meeting Date
19940927,0,Yes,Meeting Date
19941115,0,Yes,Meeting Date
19941220,0,Yes,Meeting Date
19950201,0,Yes,Meeting Date
19950328,0,Yes,Meeting Date
19950523,0,Yes,Meeting Date
19950706,0,Yes,Meeting Date
19950822,0,Yes,Meeting Date
19950926,0,Yes,Meeting Date
19951115,0,Yes,Meeting Date
19951219,0,Yes,Meeting Date
19960131,0,Yes,Meeting Date
19960326,0,Yes,Meeting Date
19960521,0,Yes,Meeting Date
19960702,0,Yes,Meeting Date
19960820,0,Yes,Meeting Date
19960924,0,Yes,Meeting Date
19961113,0,Yes,Meeting Date
19961217,0,Yes,Meeting Date
19970204,0,Yes,Meeting Date
19970325,0,Yes,Meeting Date
19970520,0,Yes,Meeting Date
19970701,0,Yes,Meeting Date
19970819,0,Yes,Meeting Date
19970930,0,Yes,Meeting Date
19971112,0,Yes,Meeting Date
19971216,0,Yes,Meeting Date
19980203,0,Yes,Meeting Date
19980331,0,Yes,Meeting Date
19980519,0,Yes,Meeting Date
19980630,0,Yes,Meeting Date
19980818,0,Yes,Meeting Date
19980929,0,Yes,Meeting Date
19981117,0,Yes,Meeting Date
19981222,0,Yes,Meeting Date
19990202,0,Yes,Meeting Date
19990330,0,Yes,Meeting Date
19990518,0,Yes,Meeting Date
19990630,0,Yes,Meeting Date
19990824,0,Yes,Meeting Date
19991005,0,Yes,Meeting Date
19991116,0,Yes,Meeting Date
19991221,0,Yes,Meeting Date
20000202,0,Yes,Meeting Date
20000321,0,Yes,Meeting Date
20000516,0,Yes,Meeting Date
20000628,0,Yes,Meeting Date
20000822,0,Yes,Meeting Date
20001003,0,Yes,Meeting Date
20001115,0,Yes,Meeting Date
20001219,0,Yes,Meeting Date
20010131,0,Yes,Meeting Date
20010320,0,Yes,Meeting Date
20010515,0,Yes,Meeting Date
20010627,0,Yes,Meeting Date
20010821,0,Yes,Meeting Date
20011002,0,Yes,Meeting Date
20011106,0,Yes,Meeting Date
20011211,0,Yes,Meeting Date
20020130,0,Yes,Meeting Date
20020319,0,Yes,Meeting Date
20020507,0,Yes,Meeting Date
20020626,0,Yes,Meeting Date
20020813,0,Yes,Meeting Date
20020924,0,Yes,Meeting Date
20021106,0,Yes,Meeting Date
20021210,0,Yes,Meeting Date
20030129,0,Yes,Meeting Date
20030318,0,Yes,Meeting Date
20030506,0,Yes,Meeting Date
20030625,0,Yes,Meeting Date
20030812,0,Yes,Meeting Date
20030916,0,Yes,Meeting Date
20031028,0,Yes,Meeting Date
20031209,0,Yes,Meeting Date
20040128,0,Yes,Meeting Date
20040316,0,Yes,Meeting Date
20040504,0,Yes,Meeting Date
20040630,0,Yes,Meeting Date
20040810,0,Yes,Meeting Date
20040921,0,Yes,Meeting Date
20041110,0,Yes,Meeting Date
20041214,0,Yes,Meeting Date
20050202,0,Yes,Meeting Date
20050322,0,Yes,Meeting Date
20050503,0,Yes,Meeting Date
20050630,0,Yes,Meeting Date
20050809,0,Yes,Meeting Date
20050920,0,Yes,Meeting Date
20051101,0,Yes,Meeting Date
20051213,0,Yes,Meeting Date
20060131,0,Yes,Meeting Date
20060328,0,Yes,Meeting Date
20060510,0,Yes,Meeting Date
20060629,0,Yes,Meeting Date
20060808,0,Yes,Meeting Date
20060920,0,Yes,Meeting Date
20061025,0,Yes,Meeting Date
20061212,0,Yes,Meeting Date
20070131,0,Yes,Meeting Date
20070321,0,Yes,Meeting Date
20070509,0,Yes,Meeting Date
20070628,0,Yes,Meeting Date
20070807,0,Yes,Meeting Date
20070918,0,Yes,Meeting Date
20071031,0,Yes,Meeting Date
20071211,0,Yes,Meeting Date
20080130,0,Yes,Meeting Date
20080318,0,Yes,Meeting Date
20080430,0,Yes,Meeting Date
20080625,0,Yes,Meeting Date
20080805,0,Yes,Meeting Date
20080916,0,Yes,Meeting Date
20081029,0,Yes,Meeting Date
20081216,0,Yes,Meeting Date
20090128,0,Yes,Meeting Date
20090318,0,Yes,Meeting Date
20090429,0,Yes,Meeting Date
20090624,0,Yes,Meeting Date
20090812,0,Yes,Meeting Date
20090923,0,Yes,Meeting Date
20091104,0,Yes,Meeting Date
20091216,0,Yes,Meeting Date
20100127,0,No,Meeting Date
20100316,0,No,Meeting Date
20100428,0,No,Meeting Date
20100623,0,No,Meeting Date
20100810,0,No,Meeting Date
20100921,0,No,Meeting Date
20101103,0,No,Meeting Date
20101214,0,No,Meeting Date
20110126,0,No,Meeting Date
20110315,0,No,Meeting Date
20110427,1,No,Meeting Date
20110622,1,No,Meeting Date
20110809,0,No,Meeting Date
20110921,0,No,Meeting Date
20111102,1,No,Meeting Date
20111213,0,No,Meeting Date
20120125,1,No,Meeting Date
20120313,0,No,Meeting Date
20120425,1,No,Meeting Date
20120620,1,No,Meeting Date
20120801,0,No,Meeting Date
20120913,1,No,Meeting Date
20121024,0,No,Meeting Date
20121212,1,No,Meeting Date
20130130,0,No,Meeting Date
20130320,1,No,Meeting Date
20130501,0,No,Meeting Date
20130619,1,No,Meeting Date
20130731,0,No,Meeting Date
20130918,1,No,Meeting Date
20131030,0,No,Meeting Date
20131218,1,No,Meeting Date
20140129,0,No,Meeting Date
20140319,1,No,Meeting Date
20140430,0,No,Meeting Date
20140618,1,No,Meeting Date
20140730,0,No,Meeting Date
20140917,1,No,Meeting Date
20141029,0,No,Meeting Date
20141217,1,No,Meeting Date
20150128,0,No,Meeting Date
20150318,1,No,Meeting Date
20150429,0,No,Meeting Date
20150617,1,No,Meeting Date
20150729,0,No,Meeting Date
20150917,1,No,Meeting Date
20151028,0,No,Meeting Date
20151216,1,No,Meeting Date
20160127,0,No,Meeting Date
20160316,1,No,Meeting Date
20160427,0,No,Meeting Date
20160615,1,No,Meeting Date
20160727,0,No,Meeting Date
20160921,1,No,Meeting Date
20161102,0,No,Meeting Date
20161214,1,No,Meeting Date
20170201,0,No,Meeting Date
20170315,1,No,Meeting Date
20170503,0,No,Meeting Date
20170614,1,No,Meeting Date
20170726,0,No,Meeting Date
20170920,1,No,Meeting Date
20171101,0,No,Meeting Date
20171213,1,No,Meeting Date
20180131,0,No,Meeting Date
20180321,1,No,Meeting Date
20180502,0,No,Meeting Date
20180613,1,No,Meeting Date
20180801,0,No,Meeting Date
20180926,1,No,Meeting Date
20181108,0,No,Meeting Date
20181219,1,No,Meeting Date
20190130,1,No,Meeting Date
20190320,1,No,Meeting Date
20190501,1,No,Meeting Date
20190619,1,No,Meeting Date
20190731,1,No,Meeting Date
20190918,1,No,Meeting Date
20191030,1,No,Meeting Date
20191211,1,No,Meeting Date
20200129,1,No,Meeting Date
20200315,1,No,Meeting Date
20200429,1,No,Meeting Date
20200610,1,No,Meeting Date
20200729,1,No,Meeting Date
20200916,1,No,Meeting Date
20201105,1,No,Meeting Date
19930326,0,Yes,Minute Date
19930521,0,Yes,Minute Date
19930709,0,Yes,Minute Date
19930820,0,Yes,Minute Date
19930924,0,Yes,Minute Date
19931119,0,Yes,Minute Date
19931223,0,Yes,Minute Date
19940204,0,Yes,Minute Date
19940325,0,Yes,Minute Date
19940520,0,Yes,Minute Date
19940708,0,Yes,Minute Date
19940819,0,Yes,Minute Date
19940930,0,Yes,Minute Date
19941118,0,Yes,Minute Date
19941222,0,Yes,Minute Date
19950203,0,Yes,Minute Date
19950331,0,Yes,Minute Date
19950526,0,Yes,Minute Date
19950707,0,Yes,Minute Date
19950825,0,Yes,Minute Date
19950929,0,Yes,Minute Date
19951117,0,Yes,Minute Date
19951222,0,Yes,Minute Date
19960202,0,Yes,Minute Date
19960329,0,Yes,Minute Date
19960524,0,Yes,Minute Date
19960705,0,Yes,Minute Date
19960823,0,Yes,Minute Date
19960927,0,Yes,Minute Date
19961115,0,Yes,Minute Date
19961220,0,Yes,Minute Date
19970206,0,Yes,Minute Date
19970327,0,Yes,Minute Date
19970522,0,Yes,Minute Date
19970703,0,Yes,Minute Date
19970821,0,Yes,Minute Date
19971002,0,Yes,Minute Date
19971113,0,Yes,Minute Date
19971218,0,Yes,Minute Date
19980205,0,Yes,Minute Date
19980402,0,Yes,Minute Date
19980521,0,Yes,Minute Date
19980702,0,Yes,Minute Date
19980820,0,Yes,Minute Date
19981001,0,Yes,Minute Date
19981119,0,Yes,Minute Date
19981223,0,Yes,Minute Date
19990204,0,Yes,Minute Date
19990401,0,Yes,Minute Date
19990520,0,Yes,Minute Date
19990701,0,Yes,Minute Date
19990826,0,Yes,Minute Date
19991007,0,Yes,Minute Date
19991118,0,Yes,Minute Date
19991223,0,Yes,Minute Date
20000203,0,Yes,Minute Date
20000323,0,Yes,Minute Date
20000518,0,Yes,Minute Date
20000629,0,Yes,Minute Date
20000824,0,Yes,Minute Date
20001005,0,Yes,Minute Date
20001116,0,Yes,Minute Date
20001221,0,Yes,Minute Date
20010201,0,Yes,Minute Date
20010322,0,Yes,Minute Date
20010517,0,Yes,Minute Date
20010628,0,Yes,Minute Date
20010823,0,Yes,Minute Date
20011004,0,Yes,Minute Date
20011108,0,Yes,Minute Date
20011213,0,Yes,Minute Date
20020131,0,Yes,Minute Date
20020321,0,Yes,Minute Date
20020509,0,Yes,Minute Date
20020627,0,Yes,Minute Date
20020815,0,Yes,Minute Date
20020926,0,Yes,Minute Date
20021107,0,Yes,Minute Date
20021212,0,Yes,Minute Date
20030130,0,Yes,Minute Date
20030320,0,Yes,Minute Date
20030508,0,Yes,Minute Date
20030626,0,Yes,Minute Date
20030814,0,Yes,Minute Date
20030918,0,Yes,Minute Date
20031030,0,Yes,Minute Date
20031211,0,Yes,Minute Date
20040129,0,Yes,Minute Date
20040318,0,Yes,Minute Date
20040506,0,Yes,Minute Date
20040701,0,Yes,Minute Date
20040812,0,Yes,Minute Date
20040923,0,Yes,Minute Date
20041111,0,Yes,Minute Date
20041216,0,Yes,Minute Date
20050104,0,Yes,Minute Date
20050223,0,Yes,Minute Date
20050412,0,Yes,Minute Date
20050524,0,Yes,Minute Date
20050721,0,Yes,Minute Date
20050830,0,Yes,Minute Date
20051011,0,Yes,Minute Date
20051122,0,Yes,Minute Date
20060103,0,Yes,Minute Date
20060221,0,Yes,Minute Date
20060418,0,Yes,Minute Date
20060531,0,Yes,Minute Date
20060720,0,Yes,Minute Date
20060829,0,Yes,Minute Date
20061011,0,Yes,Minute Date
20061115,0,Yes,Minute Date
20070103,0,Yes,Minute Date
20070221,0,Yes,Minute Date
20070411,0,Yes,Minute Date
20070530,0,Yes,Minute Date
20070719,0,Yes,Minute Date
20070828,0,Yes,Minute Date
20071009,0,Yes,Minute Date
20071120,0,Yes,Minute Date
20080102,0,Yes,Minute Date
20080220,0,Yes,Minute Date
20080408,0,Yes,Minute Date
20080521,0,Yes,Minute Date
20080716,0,Yes,Minute Date
20080826,0,Yes,Minute Date
20081007,0,Yes,Minute Date
20081119,0,Yes,Minute Date
20090106,0,Yes,Minute Date
20090218,0,Yes,Minute Date
20090408,0,Yes,Minute Date
20090520,0,Yes,Minute Date
20090715,0,Yes,Minute Date
20090902,0,Yes,Minute Date
20091014,0,Yes,Minute Date
20091124,0,Yes,Minute Date
20100106,0,Yes,Minute Date
20100217,0,No,Minute Date
20100406,0,No,Minute Date
20100519,0,No,Minute Date
20100714,0,No,Minute Date
20100831,0,No,Minute Date
20101012,0,No,Minute Date
20101123,0,No,Minute Date
20110104,0,No,Minute Date
20110216,0,No,Minute Date
20110405,0,No,Minute Date
20110518,1,No,Minute Date
20110712,1,No,Minute Date
20110830,0,No,Minute Date
20111012,0,No,Minute Date
20111122,1,No,Minute Date
20120103,0,No,Minute Date
20120215,1,No,Minute Date
20120403,0,No,Minute Date
20120516,1,No,Minute Date
20120711,1,No,Minute Date
20120822,0,No,Minute Date
20121004,1,No,Minute Date
20121114,0,No,Minute Date
20130103,1,No,Minute Date
20130220,0,No,Minute Date
20130410,1,No,Minute Date
20130522,0,No,Minute Date
20130710,1,No,Minute Date
20130821,0,No,Minute Date
20131009,1,No,Minute Date
20131120,0,No,Minute Date
20140108,1,No,Minute Date
20140219,0,No,Minute Date
20140409,1,No,Minute Date
20140521,0,No,Minute Date
20140709,1,No,Minute Date
20140820,0,No,Minute Date
20141008,1,No,Minute Date
20141119,0,No,Minute Date
20150107,1,No,Minute Date
20150218,0,No,Minute Date
20150408,1,No,Minute Date
20150520,0,No,Minute Date
20150708,1,No,Minute Date
20150819,0,No,Minute Date
20151008,1,No,Minute Date
20151118,0,No,Minute Date
20160106,1,No,Minute Date
20160217,0,No,Minute Date
20160406,1,No,Minute Date
20160518,0,No,Minute Date
20160706,1,No,Minute Date
20160817,0,No,Minute Date
20161012,1,No,Minute Date
20161123,0,No,Minute Date
20170104,1,No,Minute Date
20170222,0,No,Minute Date
20170405,1,No,Minute Date
20170524,0,No,Minute Date
20170705,1,No,Minute Date
20170816,0,No,Minute Date
20171011,1,No,Minute Date
20171122,0,No,Minute Date
20180103,1,No,Minute Date
20180221,0,No,Minute Date
20180411,1,No,Minute Date
20180523,0,No,Minute Date
20180705,1,No,Minute Date
20180822,0,No,Minute Date
20181017,1,No,Minute Date
20181129,0,No,Minute Date
20190109,1,No,Minute Date
20190220,1,No,Minute Date
20190410,1,No,Minute Date
20190522,1,No,Minute Date
20190710,1,No,Minute Date
20190821,1,No,Minute Date
20191009,1,No,Minute Date
20191120,1,No,Minute Date
20200103,1,No,Minute Date
20200219,1,No,Minute Date
20200408,1,No,Minute Date
20200520,1,No,Minute Date
20200701,1,No,Minute Date
20200819,1,No,Minute Date
20201007,1,No,Minute Date
20201126,1,No,Minute Date
